Description,TECHNICAL_SKILL,COMPANY_NAME,TOOL,EDUCATION,EXPERIENCE,DESIGNATION,LOCATION,LANGUAGE,SOFT_SKILL,PAY,CERTIFICATION
"Netflix, IBM is seeking a Data Scientist, Product Manager proficient in Kubernetes, TensorFlow, Docker and experienced with Tableau, VS Code, GitHub. The ideal candidate should possess Bachelor's in Computer Science, Master's in Information Systems and have 5+ years, Mid-Senior level, 2+ years of industry experience. Position is based in New York, NY, San Francisco, CA, Chicago, IL, Austin, TX. Strong Leadership, Adaptability, Communication Skills and fluency in German, English, French are required. Salary range: $80k–$100k, $90k–$120k, $100k–$130k. Preferred certifications include AWS Certified Solutions Architect, Google Cloud Professional, PMP Certification, Certified Scrum Master.","Kubernetes, TensorFlow, Docker","Netflix, IBM","Tableau, VS Code, GitHub","Bachelor's in Computer Science, Master's in Information Systems","5+ years, Mid-Senior level, 2+ years","Data Scientist, Product Manager","New York, NY, San Francisco, CA, Chicago, IL, Austin, TX","German, English, French","Leadership, Adaptability, Communication Skills","$80k–$100k, $90k–$120k, $100k–$130k","AWS Certified Solutions Architect, Google Cloud Professional, PMP Certification, Certified Scrum Master"
"Netflix, Amazon, Apple is seeking a Data Scientist, Backend Developer proficient in Docker, Machine Learning, Java, Python and experienced with Jira, VS Code, Tableau. The ideal candidate should possess Bachelor's in Computer Science, Master's in Information Systems and have 7+ years, Entry level, 5+ years, 3-5 years of industry experience. Position is based in Boston, MA, Austin, TX, Seattle, WA. Strong Communication Skills, Problem-Solving, Teamwork and fluency in French, German, English, Spanish are required. Salary range: $100k–$130k, $80k–$100k. Preferred certifications include PMP Certification, Certified Scrum Master.","Docker, Machine Learning, Java, Python","Netflix, Amazon, Apple","Jira, VS Code, Tableau","Bachelor's in Computer Science, Master's in Information Systems","7+ years, Entry level, 5+ years, 3-5 years","Data Scientist, Backend Developer","Boston, MA, Austin, TX, Seattle, WA","French, German, English, Spanish","Communication Skills, Problem-Solving, Teamwork","$100k–$130k, $80k–$100k","PMP Certification, Certified Scrum Master"
"Tesla, IBM, Amazon is seeking a DevOps Engineer, Product Manager, Backend Developer proficient in Python, SQL and experienced with Figma, VS Code, Salesforce, Tableau. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science and have Entry level, 3-5 years, 5+ years of industry experience. Position is based in Boston, MA, New York, NY, Chicago, IL. Strong Leadership, Communication Skills and fluency in German, French, Spanish are required. Salary range: $90k–$120k, $80k–$100k. Preferred certifications include Google Cloud Professional, Certified Scrum Master, AWS Certified Solutions Architect, PMP Certification.","Python, SQL","Tesla, IBM, Amazon","Figma, VS Code, Salesforce, Tableau","Master's in Information Systems, Ph.D. in Data Science","Entry level, 3-5 years, 5+ years","DevOps Engineer, Product Manager, Backend Developer","Boston, MA, New York, NY, Chicago, IL","German, French, Spanish","Leadership, Communication Skills","$90k–$120k, $80k–$100k","Google Cloud Professional, Certified Scrum Master, AWS Certified Solutions Architect, PMP Certification"
"Amazon, Google, Tesla, Microsoft is seeking a Backend Developer, Software Engineer, Product Manager, Data Scientist proficient in Docker, TensorFlow, AWS and experienced with Salesforce, Jira. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science and have 5+ years, Entry level, 3-5 years, 2+ years of industry experience. Position is based in San Francisco, CA, Chicago, IL. Strong Teamwork, Communication Skills, Leadership and fluency in Spanish, German, French, English are required. Salary range: $100k–$130k, $80k–$100k. Preferred certifications include Certified Scrum Master, AWS Certified Solutions Architect.","Docker, TensorFlow, AWS","Amazon, Google, Tesla, Microsoft","Salesforce, Jira","Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science","5+ years, Entry level, 3-5 years, 2+ years","Backend Developer, Software Engineer, Product Manager, Data Scientist","San Francisco, CA, Chicago, IL","Spanish, German, French, English","Teamwork, Communication Skills, Leadership","$100k–$130k, $80k–$100k","Certified Scrum Master, AWS Certified Solutions Architect"
"Facebook, Microsoft, Amazon, Apple is seeking a Product Manager, Backend Developer, Software Engineer, DevOps Engineer proficient in Python, TensorFlow, AWS, Docker and experienced with Figma, VS Code, Tableau, Jira. The ideal candidate should possess Bachelor's in Computer Science, Master's in Information Systems and have 7+ years, 3-5 years, 5+ years of industry experience. Position is based in San Francisco, CA, New York, NY, Boston, MA. Strong Teamwork, Leadership and fluency in English, French, Spanish, German are required. Salary range: $100k–$130k, $80k–$100k, $90k–$120k, $120k–$150k. Preferred certifications include AWS Certified Solutions Architect, Google Cloud Professional, Certified Scrum Master.","Python, TensorFlow, AWS, Docker","Facebook, Microsoft, Amazon, Apple","Figma, VS Code, Tableau, Jira","Bachelor's in Computer Science, Master's in Information Systems","7+ years, 3-5 years, 5+ years","Product Manager, Backend Developer, Software Engineer, DevOps Engineer","San Francisco, CA, New York, NY, Boston, MA","English, French, Spanish, German","Teamwork, Leadership","$100k–$130k, $80k–$100k, $90k–$120k, $120k–$150k","AWS Certified Solutions Architect, Google Cloud Professional, Certified Scrum Master"
"Apple, Tesla, Google is seeking a Software Engineer, DevOps Engineer, Product Manager proficient in TensorFlow, Kubernetes, Python, Docker and experienced with VS Code, Figma, Slack. The ideal candidate should possess Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems and have 5+ years, 2+ years, 7+ years, 3-5 years of industry experience. Position is based in Seattle, WA, Chicago, IL. Strong Problem-Solving, Leadership, Communication Skills and fluency in French, German, Spanish, English are required. Salary range: $100k–$130k, $80k–$100k. Preferred certifications include Google Cloud Professional, AWS Certified Solutions Architect, PMP Certification, Certified Scrum Master.","TensorFlow, Kubernetes, Python, Docker","Apple, Tesla, Google","VS Code, Figma, Slack","Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems","5+ years, 2+ years, 7+ years, 3-5 years","Software Engineer, DevOps Engineer, Product Manager","Seattle, WA, Chicago, IL","French, German, Spanish, English","Problem-Solving, Leadership, Communication Skills","$100k–$130k, $80k–$100k","Google Cloud Professional, AWS Certified Solutions Architect, PMP Certification, Certified Scrum Master"
"Microsoft, Apple, IBM, Facebook is seeking a DevOps Engineer, Data Scientist proficient in TensorFlow, Java and experienced with GitHub, Figma. The ideal candidate should possess Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science and have 2+ years, Mid-Senior level of industry experience. Position is based in Seattle, WA, San Francisco, CA, New York, NY. Strong Communication Skills, Teamwork, Adaptability, Leadership and fluency in German, English are required. Salary range: $80k–$100k, $100k–$130k, $120k–$150k. Preferred certifications include Google Cloud Professional, PMP Certification.","TensorFlow, Java","Microsoft, Apple, IBM, Facebook","GitHub, Figma","Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science","2+ years, Mid-Senior level","DevOps Engineer, Data Scientist","Seattle, WA, San Francisco, CA, New York, NY","German, English","Communication Skills, Teamwork, Adaptability, Leadership","$80k–$100k, $100k–$130k, $120k–$150k","Google Cloud Professional, PMP Certification"
"IBM, Microsoft, Facebook, Tesla is seeking a Backend Developer, Product Manager proficient in AWS, Docker, Kubernetes, Java and experienced with Salesforce, Tableau, GitHub. The ideal candidate should possess Master's in Information Systems, Bachelor's in Computer Science and have Mid-Senior level, 5+ years, 7+ years, Entry level of industry experience. Position is based in Seattle, WA, Chicago, IL, Boston, MA. Strong Communication Skills, Teamwork, Adaptability and fluency in German, English, Spanish are required. Salary range: $120k–$150k, $90k–$120k, $80k–$100k, $100k–$130k. Preferred certifications include Certified Scrum Master, AWS Certified Solutions Architect.","AWS, Docker, Kubernetes, Java","IBM, Microsoft, Facebook, Tesla","Salesforce, Tableau, GitHub","Master's in Information Systems, Bachelor's in Computer Science","Mid-Senior level, 5+ years, 7+ years, Entry level","Backend Developer, Product Manager","Seattle, WA, Chicago, IL, Boston, MA","German, English, Spanish","Communication Skills, Teamwork, Adaptability","$120k–$150k, $90k–$120k, $80k–$100k, $100k–$130k","Certified Scrum Master, AWS Certified Solutions Architect"
"Apple, Google, Amazon, Tesla is seeking a Data Scientist, Product Manager, Software Engineer, DevOps Engineer proficient in Kubernetes, AWS, TensorFlow, Machine Learning and experienced with GitHub, Slack. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science and have 7+ years, Mid-Senior level of industry experience. Position is based in Chicago, IL, San Francisco, CA, New York, NY, Austin, TX. Strong Communication Skills, Problem-Solving, Adaptability, Teamwork and fluency in Spanish, English, French are required. Salary range: $100k–$130k, $80k–$100k, $120k–$150k, $90k–$120k. Preferred certifications include AWS Certified Solutions Architect, PMP Certification, Certified Scrum Master, Google Cloud Professional.","Kubernetes, AWS, TensorFlow, Machine Learning","Apple, Google, Amazon, Tesla","GitHub, Slack","Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science","7+ years, Mid-Senior level","Data Scientist, Product Manager, Software Engineer, DevOps Engineer","Chicago, IL, San Francisco, CA, New York, NY, Austin, TX","Spanish, English, French","Communication Skills, Problem-Solving, Adaptability, Teamwork","$100k–$130k, $80k–$100k, $120k–$150k, $90k–$120k","AWS Certified Solutions Architect, PMP Certification, Certified Scrum Master, Google Cloud Professional"
"Tesla, Amazon is seeking a Data Scientist, DevOps Engineer, Product Manager proficient in TensorFlow, AWS and experienced with Salesforce, Slack, Figma. The ideal candidate should possess Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science and have Mid-Senior level, 5+ years, 2+ years, 7+ years of industry experience. Position is based in Boston, MA, Chicago, IL. Strong Problem-Solving, Teamwork, Communication Skills and fluency in English, German are required. Salary range: $80k–$100k, $90k–$120k. Preferred certifications include Google Cloud Professional, PMP Certification, AWS Certified Solutions Architect, Certified Scrum Master.","TensorFlow, AWS","Tesla, Amazon","Salesforce, Slack, Figma","Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science","Mid-Senior level, 5+ years, 2+ years, 7+ years","Data Scientist, DevOps Engineer, Product Manager","Boston, MA, Chicago, IL","English, German","Problem-Solving, Teamwork, Communication Skills","$80k–$100k, $90k–$120k","Google Cloud Professional, PMP Certification, AWS Certified Solutions Architect, Certified Scrum Master"
"Amazon, Apple is seeking a Software Engineer, Data Scientist, Backend Developer, Product Manager proficient in SQL, TensorFlow, Docker, Python and experienced with GitHub, Tableau, Salesforce. The ideal candidate should possess Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems and have Entry level, 5+ years, 2+ years, 3-5 years of industry experience. Position is based in New York, NY, Austin, TX, Boston, MA. Strong Communication Skills, Leadership, Problem-Solving, Teamwork and fluency in French, Spanish, English, German are required. Salary range: $90k–$120k, $100k–$130k, $120k–$150k, $80k–$100k. Preferred certifications include Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect.","SQL, TensorFlow, Docker, Python","Amazon, Apple","GitHub, Tableau, Salesforce","Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems","Entry level, 5+ years, 2+ years, 3-5 years","Software Engineer, Data Scientist, Backend Developer, Product Manager","New York, NY, Austin, TX, Boston, MA","French, Spanish, English, German","Communication Skills, Leadership, Problem-Solving, Teamwork","$90k–$120k, $100k–$130k, $120k–$150k, $80k–$100k","Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect"
